,channel,electrode,x,y,orig_channel,mean_amp,spike_count,spike_amp_product
64,64,11259,682.5,892.5,64,0.3671862125396729,0.12076217670674765,1.532290595529418
65,65,13374,3045.0,1050.0,65,0.3849172592163086,0.5449926503302646,2.1396869868047306
66,66,11041,717.5,875.0,66,0.3544914960861206,0.2740591803150324,1.7257023252471648
67,67,13156,3080.0,1032.5,67,0.38235361576080323,0.7589921947931325,2.4315492205673177
68,68,11486,805.0,910.0,68,0.6280251026153565,0.9017584057908419,3.0961104237372523
69,69,13607,3272.5,1067.5,69,0.46023039817810063,0.8543377851813614,2.7077604024120765
70,70,11045,787.5,875.0,70,0.3628971099853516,0.23614423469757884,1.6847374049943842
71,71,13365,2887.5,1050.0,71,0.4872583866119385,0.0,1.4872583866119384
72,72,7542,1085.0,595.0,72,0.8490962028503418,0.5088233541640886,2.7899595349567328
73,73,8517,2747.5,665.0,73,0.340497088432312,0.0913530601050108,1.4629555995224608
74,74,7975,962.5,630.0,74,0.7711049556732178,0.7305668177926536,3.0650154671161993
75,75,13821,3167.5,1085.0,75,0.3264850378036499,0.0913530601050108,1.4476635051905242
76,76,9074,945.0,717.5,76,0.3871154308319092,0.6508102823949202,2.2898644160859756
77,77,13155,3062.5,1032.5,77,0.3867008447647095,0.8596735279292246,2.578810852166024
78,78,16121,1067.5,1277.5,78,0.3522044897079468,0.4103445258918837,1.9070741999460308
79,79,13594,3045.0,1067.5,79,0.31555693149566655,0.2740591803150324,1.6760973857991284
80,80,12582,735.0,997.5,80,0.3483116149902344,0.0913530601050108,1.4714840069947213
81,81,13146,2905.0,1032.5,81,0.3984458923339844,0.5269412893181277,2.1353447738820934
82,82,11483,752.5,910.0,82,0.43175549507141114,0.29670811735233016,1.856568972522903
83,83,13166,3255.0,1032.5,83,0.4086753368377686,0.0913530601050108,1.5373621395523553
84,84,8626,805.0,682.5,84,0.33368399143218996,0.6015564751176221,2.135970232238939
85,85,15906,1155.0,1260.0,85,0.3431703567504883,0.0534381144875572,1.4149468480508138
86,86,12144,770.0,962.5,86,0.35833561420440674,0.3980757101885862,1.8990560285032754
87,87,14040,3150.0,1102.5,87,,,
88,88,9282,735.0,735.0,88,0.5364129066467286,0.21211523681175848,1.8623094941807417
89,89,16448,2940.0,1295.0,89,0.31806473731994633,0.0534381144875572,1.3884996316548615
90,90,16340,1050.0,1295.0,90,0.3479146480560303,0.14479117459256802,1.5430807931985908
91,91,22543,1802.5,1785.0,91,,,
92,92,8635,962.5,682.5,92,0.38424530029296877,0.567252566529563,2.169461999590641
93,93,14388,1540.0,1137.5,93,,,
94,94,12363,752.5,980.0,94,0.34383416175842285,0.34302046367269323,1.804796779024002
95,95,19958,2765.0,1575.0,95,0.304515290260315,0.16510740282581546,1.5199004217817604
96,96,7980,1050.0,630.0,96,0.8201496124267579,0.7397800116069989,3.1666599138343
97,97,12926,2905.0,1015.0,97,0.3884345293045044,0.3980757101885862,1.9411365906077502
98,98,21791,192.5,1732.5,98,0.33746061325073246,0.0,1.3374606132507325
99,99,16375,1662.5,1295.0,99,0.32544422149658203,0.0,1.325444221496582
100,100,8625,787.5,682.5,100,0.3439614057540894,0.0913530601050108,1.4667363928327575
101,101,14608,1540.0,1155.0,101,0.27401697635650635,0.0,1.2740169763565063
102,102,11260,700.0,892.5,102,0.4180604934692383,0.6281908659326778,2.3088731428065996
103,103,19761,3167.5,1557.5,103,0.2535101413726807,0.0534381144875572,1.3204953598186677
104,104,4463,1102.5,350.0,104,0.5288164138793946,0.30346829691676924,1.9927637272977772
105,105,11583,2502.5,910.0,105,,,
106,106,15675,962.5,1242.5,106,0.30074453353881836,0.0,1.3007445335388184
107,107,13367,2922.5,1050.0,107,0.44495463371276855,0.3380464919863125,1.933416478718737
108,108,7761,1067.5,612.5,108,0.8163862228393555,0.5617982182387283,2.836828766463879
109,109,8736,2730.0,682.5,109,0.33895530700683596,0.8221775409450973,2.439814288757104
110,110,18080,700.0,1435.0,110,0.263416051864624,0.0913530601050108,1.3788329743882484
111,111,15135,3062.5,1190.0,111,,,
112,112,8406,805.0,665.0,112,0.3885519504547119,0.4704451581337175,2.0417894923632605
113,113,14153,1277.5,1120.0,113,0.33400433063507085,0.0913530601050108,1.4558697084319212
114,114,11479,682.5,910.0,114,0.40616693496704104,0.22467660448153706,1.7220997472496462
115,115,19980,3150.0,1575.0,115,,,
116,116,9503,752.5,752.5,116,0.32415237426757815,0.0,1.324152374267578
117,117,9158,2415.0,717.5,117,0.379510235786438,0.16510740282581546,1.607277587988765
118,118,15900,1050.0,1260.0,118,0.3291688442230225,0.0,1.3291688442230225
119,119,11830,2975.0,927.5,119,0.3426571369171143,0.44825947150933726,1.94451591552982
120,120,7323,1102.5,577.5,120,0.7473916530609132,0.7053460382627177,2.9799074328407698
121,121,15126,2905.0,1190.0,121,0.36098842620849614,0.0534381144875572,1.433717081544466
122,122,18299,682.5,1452.5,122,0.32828898429870607,0.0534381144875572,1.3992702431142212
123,123,15354,3045.0,1207.5,123,0.3479488849639893,0.0,1.3479488849639893
124,124,7956,630.0,630.0,124,0.2896568775177002,0.28204917850872974,1.6534035403797012
125,125,13366,2905.0,1050.0,125,0.32176759243011477,0.28204917850872974,1.69457105605449
126,126,9512,910.0,752.5,126,0.4537786960601807,0.811596163415278,2.6336599082374885
127,127,16226,2905.0,1277.5,127,0.2837512016296387,0.0913530601050108,1.4010258023119908
128,128,3118,665.0,245.0,128,0.3126835107803345,0.30346829691676924,1.7110413401875681
129,129,8499,2432.5,665.0,129,0.4074571609497071,0.6887252280123738,2.3768084150424422
130,130,17430,875.0,1382.5,130,0.29729385375976564,0.0913530601050108,1.4158056171561424
131,131,23507,3272.5,1855.0,131,0.5910885334014893,0.0,1.5910885334014893
132,132,457,297.5,35.0,132,0.2992985725402832,0.0913530601050108,1.4179934731319104
133,133,7187,2572.5,560.0,133,0.3690797805786133,0.44825947150933726,1.982782759474902
134,134,19393,577.5,1540.0,134,,,
135,135,22416,3430.0,1767.5,135,0.3530275821685791,0.0,1.353027582168579
136,136,3336,630.0,262.5,136,0.34821879863739014,0.7255730049911757,2.326449963750314
137,137,11145,2537.5,875.0,137,0.275972843170166,0.12076217670674765,1.430062101130093
138,138,21352,210.0,1697.5,138,0.33234944343566897,0.14479117459256802,1.5252618843184738
139,139,22854,3395.0,1802.5,139,0.28104257583618164,0.0,1.2810425758361816
140,140,11482,735.0,910.0,140,0.43674492835998535,0.6745239820280083,2.4058638385959084
141,141,13316,2030.0,1050.0,141,0.3348413467407227,0.0534381144875572,1.4061727514505784
142,142,18289,507.5,1452.5,142,0.3252284049987793,0.0534381144875572,1.3960461122272667
143,143,19956,2730.0,1575.0,143,,,
144,144,676,280.0,52.5,144,0.32550318241119386,0.5316911585754341,2.030261505162826
145,145,6884,1120.0,542.5,145,0.44873895645141604,0.6259282420049312,2.355545584587109
146,146,21572,210.0,1715.0,146,0.3498626947402954,0.5707672976673626,2.120320177239198
147,147,18825,2187.5,1487.5,147,0.3252504348754883,0.0534381144875572,1.3960693193390494
148,148,7096,980.0,560.0,148,0.9304905891418458,0.9412297577404973,3.7475257786801355
149,149,19904,1820.0,1575.0,149,0.30217671394348145,0.0,1.3021767139434814
150,150,21574,245.0,1715.0,150,0.6753424644470215,0.0,1.6753424644470214
151,151,21779,3832.5,1715.0,151,0.6143824100494385,0.0913530601050108,1.761861183387157
152,152,7737,647.5,612.5,152,0.33646154403686523,0.5281449013983064,2.042306894434844
153,153,6758,2765.0,525.0,153,0.29686918258666994,0.0,1.2968691825866698
154,154,21576,280.0,1715.0,154,0.33377554416656496,0.18270612021002158,1.5774644990722482
155,155,21763,3552.5,1715.0,155,0.2621623516082764,0.0,1.2621623516082763
156,156,11042,735.0,875.0,156,0.34293358325958256,0.39482135702178006,1.8731524429922526
157,157,7177,2397.5,560.0,157,0.3509281396865845,0.16510740282581546,1.573976376234547
158,158,21140,350.0,1680.0,158,0.48808007240295415,0.0,1.4880800724029541
159,159,21557,3797.5,1697.5,159,0.31124424934387207,0.0,1.311244249343872
160,160,7534,945.0,595.0,160,0.7708661079406739,0.7028235764455526,3.0154725593297544
161,161,7326,1155.0,577.5,161,0.8621295928955078,0.6164680669887501,3.0100730235103494
162,162,21355,262.5,1697.5,162,0.4882400512695313,0.8508639277705755,2.754529826758207
163,163,21559,3832.5,1697.5,163,0.5992214679718018,0.0534381144875572,1.684680847868238
164,164,7538,1015.0,595.0,164,0.6532304763793946,0.7062796521322466,2.820873522131062
165,165,6968,2590.0,542.5,165,,,
166,166,20726,805.0,1645.0,166,0.4089061260223389,0.4242304736235169,2.00660703915587
167,167,21544,3570.0,1697.5,167,0.39353384971618655,0.0,1.3935338497161864
168,168,4877,647.5,385.0,168,0.2651664733886719,0.0534381144875572,1.3327745842394345
169,169,11610,2975.0,910.0,169,0.38574736118316655,0.8440655997886647,2.555409038755795
170,170,20042,385.0,1592.5,170,,,
171,171,21762,3535.0,1715.0,171,0.3307642221450806,0.0534381144875572,1.4018777530040143
172,172,3552,560.0,280.0,172,0.35975532531738286,0.35243836973187853,1.8389852754064813
173,173,13376,3080.0,1050.0,173,0.4263072967529297,0.6549945896051793,2.3605308592404874
174,174,16991,892.5,1347.5,174,0.3797533988952637,0.24669343188130163,1.720129500018627
175,175,20397,2747.5,1610.0,175,0.36988353729248047,0.14479117459256802,1.5682305837120807
176,176,8604,420.0,682.5,176,0.2825562238693237,0.22467660448153706,1.5707166013049456
177,177,11829,2957.5,927.5,177,0.2793051958084107,0.16510740282581546,1.4905279541099088
178,178,20253,227.5,1610.0,178,,,
179,179,22867,3622.5,1802.5,179,0.3000029563903809,0.0534381144875572,1.3694726632081327
180,180,9046,455.0,717.5,180,0.3512852430343628,0.0913530601050108,1.4747292850602949
181,181,7406,2555.0,577.5,181,0.31015274524688724,0.0,1.3101527452468873
182,182,20240,0.0,1610.0,182,0.5119026184082032,0.0534381144875572,1.592695843624738
183,183,15127,2922.5,1190.0,183,,,
184,184,5316,630.0,420.0,184,0.4705695152282715,0.7195439260376887,2.528708877726962
185,185,13820,3150.0,1085.0,185,0.33318157196044923,0.0534381144875572,1.404424281435573
186,186,17431,892.5,1382.5,186,0.37246451377868656,0.37340223861374056,1.8849458356415671
187,187,22635,3412.5,1785.0,187,0.28345661163330077,0.0534381144875572,1.3520421129855733
188,188,8195,962.5,647.5,188,0.5528706073760986,0.5767011760499899,2.448412912903357
189,189,9173,2677.5,717.5,189,0.3620506048202515,0.32749729480258966,1.8081184932831147
190,190,21795,262.5,1732.5,190,0.3638514041900635,0.18270612021002158,1.61303540279262
191,191,22636,3430.0,1785.0,191,0.3776427745819092,0.0,1.377642774581909
192,192,8847,822.5,700.0,192,0.34257078170776367,0.347813523035837,1.8095350552185185
193,193,6737,2397.5,525.0,193,0.37646729946136476,0.3569064114043265,1.867737303727525
194,194,20021,17.5,1592.5,194,,,
195,195,20019,3832.5,1575.0,195,0.5990129470825195,0.0913530601050108,1.7450876729460394
196,196,8825,437.5,700.0,196,0.39770257472991943,0.6358174748312068,2.2863862963597725
197,197,13987,2222.5,1102.5,197,0.3506631374359131,0.23614423469757884,1.6696144503599475
198,198,21361,367.5,1697.5,198,0.3705227136611939,0.452580993314795,1.9907952447704655
199,199,21983,3552.5,1732.5,199,,,
200,200,12583,752.5,997.5,200,0.34872016906738285,0.12076217670674765,1.511594552452253
201,201,7318,1015.0,577.5,201,1.1177066802978517,0.8427509294682924,3.902405953460079
202,202,19812,210.0,1575.0,202,0.24101691246032717,0.0,1.2410169124603272
203,203,18607,2222.5,1470.0,203,,,
