time,pattern,reward,episode
51.985530317993835,"[('stim', [2], 250, 200), ('delay', 10), ('stim', [4], 250, 200), ('delay', 10), ('stim', [0], 250, 200), ('delay', 10), ('stim', [1], 250, 200), ('delay', 10), ('stim', [3], 250, 200)]",-220.4106257168753,1
105.47653390499181,"[('stim', [0], 250, 200), ('delay', 10), ('stim', [4], 250, 200), ('delay', 10), ('stim', [1], 250, 200), ('delay', 10), ('stim', [3], 250, 200), ('delay', 10), ('stim', [2], 250, 200)]",-236.84172619545382,2
159.07480182600557,"[('stim', [4], 250, 200), ('delay', 10), ('stim', [0], 250, 200), ('delay', 10), ('stim', [1], 250, 200), ('delay', 10), ('stim', [2], 250, 200), ('delay', 10), ('stim', [3], 250, 200)]",-200.8048609388598,3
212.59622231000685,"[('stim', [4], 250, 200), ('delay', 10), ('stim', [1], 250, 200), ('delay', 10), ('stim', [2], 250, 200), ('delay', 10), ('stim', [3], 250, 200), ('delay', 10), ('stim', [0], 250, 200)]",-216.1516246489042,4
266.1500792829902,"[('stim', [2], 250, 200), ('delay', 10), ('stim', [0], 250, 200), ('delay', 10), ('stim', [4], 250, 200), ('delay', 10), ('stim', [1], 250, 200), ('delay', 10), ('stim', [3], 250, 200)]",-236.08489816632803,5
319.6921170470014,"[('stim', [1], 250, 200), ('delay', 10), ('stim', [3], 250, 200), ('delay', 10), ('stim', [2], 250, 200), ('delay', 10), ('stim', [0], 250, 200), ('delay', 10), ('stim', [4], 250, 200)]",-198.66650446443361,6
373.33230294598616,"[('stim', [3], 250, 200), ('delay', 10), ('stim', [2], 250, 200), ('delay', 10), ('stim', [4], 250, 200), ('delay', 10), ('stim', [1], 250, 200), ('delay', 10), ('stim', [0], 250, 200)]",-181.88645670944663,7
426.8103348809818,"[('stim', [4], 250, 200), ('delay', 10), ('stim', [2], 250, 200), ('delay', 10), ('stim', [0], 250, 200), ('delay', 10), ('stim', [3], 250, 200), ('delay', 10), ('stim', [1], 250, 200)]",-188.16839841847695,8
480.37818422098644,"[('stim', [0], 250, 200), ('delay', 10), ('stim', [1], 250, 200), ('delay', 10), ('stim', [4], 250, 200), ('delay', 10), ('stim', [3], 250, 200), ('delay', 10), ('stim', [2], 250, 200)]",-108.35555398516668,9
