time,pattern,reward,episode
52.136764919006964,"[('stim', array([ 0,  1,  2,  3,  4,  5,  7,  8, 12, 13, 15, 17, 18, 19, 20, 21, 23,
       24, 25]), 150, 100)]",-157.54047601030794,1
105.8670650459826,"[('stim', array([ 0,  1,  2,  3,  4,  5,  7,  8, 12, 13, 15, 17, 18, 19, 20, 21, 23,
       24, 25]), 150, 100)]",-200.3167990652254,2
159.5910543850041,"[('delay', array([ 0,  1,  2,  3,  4,  5,  7,  8, 12, 13, 15, 17, 18, 19, 20, 21, 23,
       24, 25]), 150, 100)]",-172.3709941399966,3
213.1198299700045,"[('stim', array([ 0,  1,  2,  3,  4,  5,  7,  8, 12, 13, 15, 17, 18, 19, 20, 21, 23,
       24, 25]), 150, 100)]",-227.67115428359784,4
266.8169772909896,"[('stim', array([ 0,  1,  2,  3,  4,  5,  7,  8, 12, 13, 15, 17, 18, 19, 20, 21, 23,
       24, 25]), 150, 100)]",-211.95664388347268,5
320.58814138098387,"[('stim', array([ 0,  1,  2,  3,  4,  5,  7,  8, 12, 13, 15, 17, 18, 19, 20, 21, 23,
       24, 25]), 150, 100)]",-199.571182033725,6
374.1335046530003,"[('stim', array([ 0,  1,  2,  3,  4,  5,  7,  8, 12, 13, 15, 17, 18, 19, 20, 21, 23,
       24, 25]), 150, 100)]",-219.25670898704266,7
427.8835956339899,"[('stim', array([ 0,  1,  2,  3,  4,  5,  7,  8, 12, 13, 15, 17, 18, 19, 20, 21, 23,
       24, 25]), 150, 100)]",-216.3971034763306,8
481.6079865240026,"[('stim', array([ 0,  1,  2,  3,  4,  5,  7,  8, 12, 13, 15, 17, 18, 19, 20, 21, 23,
       24, 25]), 150, 100)]",-239.94119934002404,9
