time,amplitude,duty_time_ms,stim_electrodes,tag
0.9990130060177762,400,100,"[25833, 20978, 9924, 1428, 7836]",sensory
1.1990161150170024,400,100,"[20978, 9924, 1428, 7836]",sensory
1.3936496330134105,400,100,[20978],sensory
1.3988169229996856,400,100,[1428],sensory
1.3995759570098016,400,100,"[9924, 7836]",sensory
1.5857815770141315,400,100,[20978],sensory
1.600102316995617,400,100,[7836],sensory
1.6027114269963931,400,100,[9924],sensory
1.7729403839912266,400,100,[20978],sensory
1.8002570910030045,400,100,[7836],sensory
1.8154955960053485,400,100,[9924],sensory
1.9378917680005543,400,100,[1428],sensory
1.9604908119945321,400,100,[20978],sensory
2.001897928013932,400,100,[7836],sensory
2.0395951970131136,400,100,[9924],sensory
2.1489640999934636,400,100,[20978],sensory
2.2009492049983237,400,100,[7836],sensory
2.2467265320010483,400,100,[1428],sensory
2.273834021005314,400,100,[9924],sensory
2.3405219720152672,400,100,[20978],sensory
2.404180907004047,400,100,[7836],sensory
2.4827111850026995,400,100,[1428],sensory
2.5110272020101547,400,100,[9924],sensory
2.538885615009349,400,100,[20978],sensory
2.6047912040085066,400,100,[7836],sensory
2.7442614340106957,400,100,[20978],sensory
2.7465590159990825,400,100,[9924],sensory
2.8071860109921545,400,100,[7836],sensory
2.949485862016445,400,100,[20978],sensory
2.9783611629973166,400,100,[9924],sensory
3.00955690201954,400,100,[7836],sensory
3.1604676980059594,400,100,[20978],sensory
3.168280448007863,400,100,[1428],sensory
3.19823438001913,400,100,[9924],sensory
3.2089967610081658,400,100,[7836],sensory
3.3735392020025756,400,100,[20978],sensory
3.4104495840147138,400,100,[7836],sensory
3.4114038580155466,400,100,[9924],sensory
3.475112423009705,400,100,[1428],sensory
3.5785933549923357,400,100,[20978],sensory
3.6097815580142196,400,100,[7836],sensory
3.619916427996941,400,100,[9924],sensory
3.742249536997406,400,100,[1428],sensory
3.782237616018392,400,100,[20978],sensory
3.812550850008847,400,100,[7836],sensory
3.8246960830001626,400,100,[9924],sensory
3.9769612259988207,400,100,[20978],sensory
4.012678380007856,400,100,[7836],sensory
4.0301495190069545,400,100,[9924],sensory
4.171384011016926,400,100,[20978],sensory
4.215321116993437,400,100,[7836],sensory
4.234982565016253,400,100,[9924],sensory
4.3405677849950735,400,100,[1428],sensory
4.363132958998904,400,100,[20978],sensory
4.41577361599775,400,100,[7836],sensory
4.452934567001648,400,100,[9924],sensory
4.554754464013968,400,100,[20978],sensory
4.615864674007753,400,100,[7836],sensory
4.676416040019831,400,100,[1428],sensory
4.679027817008318,400,100,[9924],sensory
4.7470160810044035,400,100,[20978],sensory
4.817778397991788,400,100,[7836],sensory
4.908069041004637,400,100,[1428],sensory
4.914657524001086,400,100,[9924],sensory
4.943610821996117,400,100,[20978],sensory
5.010737150005298,400,100,[25833],sensory
5.0165377969969995,400,100,[7836],sensory
5.1465467539965175,400,100,[20978],sensory
5.147681149013806,400,100,[9924],sensory
5.2159047040040605,400,100,[7836],sensory
5.354321196995443,400,100,[20978],sensory
5.375013390992535,400,100,[9924],sensory
5.4165850350109395,400,100,[7836],sensory
5.419368135015247,400,100,[1428],sensory
5.560576732998015,400,100,[20978],sensory
5.594959170994116,400,100,[9924],sensory
5.617027908010641,400,100,[7836],sensory
5.749630439997418,400,100,[1428],sensory
5.765989634994185,400,100,[20978],sensory
5.803441779018613,400,100,[9924],sensory
5.816637359996093,400,100,[7836],sensory
5.969026384002063,400,100,[20978],sensory
6.007999855995877,400,100,[9924],sensory
6.016560456017032,400,100,[7836],sensory
6.029613854014315,400,100,[1428],sensory
6.167540852999082,400,100,[20978],sensory
6.2124432970013,400,100,[9924],sensory
6.218354526994517,400,100,[7836],sensory
6.245569957012776,400,100,[1428],sensory
6.360250060999533,400,100,[20978],sensory
6.417574167018756,400,100,[9924],sensory
6.419020036002621,400,100,[7836],sensory
