,channel,electrode,x,y,orig_channel,mean_amp,spike_count,spike_amp_product
0,0,23603,1102.5,1872.5,0,0.45643167495727544,0.7685085082720655,2.575711808878877
1,1,11143,2502.5,875.0,1,0.4797526836395264,0.08494506273347696,1.6054503681813166
2,2,24045,1137.5,1907.5,2,0.38754072189331057,0.3671264531497836,1.8969436257228918
3,3,11804,2520.0,927.5,3,0.6623692989349366,0.7901161777979899,2.975834175498133
4,4,23599,1032.5,1872.5,4,0.31267614364624025,0.08494506273347696,1.4241815010170087
5,5,11139,2432.5,875.0,5,0.31434431076049807,0.19723632768282967,1.5735807559257184
6,6,23818,1015.0,1890.0,6,0.2779872894287109,0.08494506273347696,1.386545999901819
7,7,11577,2397.5,910.0,7,0.4286327362060547,0.8000000726916164,2.5715390290205216
8,8,21629,1207.5,1715.0,8,0.5378886699676514,0.7032134085644572,2.619352603568263
9,9,11366,2555.0,892.5,9,0.35152213573455815,0.515284326830302,2.047940309642792
10,10,23822,1085.0,1890.0,10,0.5736597537994385,0.08494506273347696,1.7073343803070797
11,11,11800,2450.0,927.5,11,0.46900453567504885,0.7187609024677486,2.524867561466063
12,12,23165,1137.5,1837.5,12,0.48406801223754886,0.8040531320644264,2.677337545673778
13,13,10924,2520.0,857.5,13,,,
14,14,24483,1102.5,1942.5,14,0.4857562065124512,0.502778209001161,2.2327620510351407
15,15,12023,2502.5,945.0,15,0.3814832925796509,0.3095275926321823,1.809090490393411
16,16,22942,1085.0,1820.0,16,0.45647540092468264,0.4321548502042431,2.0858983096374537
17,17,10920,2450.0,857.5,17,0.4226975440979004,0.049689676320490164,1.4933909245660812
18,18,10688,2240.0,840.0,18,0.2953776836395264,0.049689676320490164,1.3597445814523608
19,19,12027,2572.5,945.0,19,0.3441022396087647,0.0,1.3441022396087647
20,20,22284,1120.0,1767.5,20,0.3712993860244751,0.11229126494935268,1.525284328705434
21,21,10916,2380.0,857.5,21,0.37794997692108157,0.3045248645209211,1.7975700069595801
22,22,24479,1032.5,1942.5,22,0.4077468872070313,0.11229126494935268,1.5658245659000225
23,23,12238,2415.0,962.5,23,0.3306771278381348,0.43394393045652296,1.908116390860812
24,24,22061,1067.5,1750.0,24,0.5838786125183105,0.3608404691167282,2.1554061140833705
25,25,10486,2555.0,822.5,25,,,
26,26,24921,1067.5,1977.5,26,0.6359157085418702,0.13463473905396714,1.8561667930756907
27,27,12461,2467.5,980.0,27,0.31021449565887455,0.4691993168695097,1.9249662419745477
28,28,22723,1102.5,1802.5,28,0.38561711311340335,0.5703420067061153,2.175892757932836
29,29,10482,2485.0,822.5,29,0.3933846235275269,0.24692600400331982,1.7374475206548494
30,30,24925,1137.5,1977.5,30,0.3477329254150391,0.11229126494935268,1.4990715604237852
31,31,12465,2537.5,980.0,31,0.3303159475326538,0.2622647247372891,1.6792108933259313
32,32,21846,1155.0,1732.5,32,0.35863842964172366,0.3143340839989449,1.7857047959089196
33,33,11129,2257.5,875.0,33,0.42042284011840825,0.049689676320490164,1.4910031912821233
34,34,22718,1015.0,1802.5,34,0.35431001186370853,0.0,1.3543100118637086
35,35,12676,2380.0,997.5,35,0.37300517559051516,0.08494506273347696,1.48963518636444
36,36,21404,1120.0,1697.5,36,0.2866726636886597,0.08494506273347696,1.3959691538231427
37,37,10687,2222.5,840.0,37,0.33769772052764896,0.08494506273347696,1.4513285373162992
38,38,21628,1190.0,1715.0,38,0.47579708099365237,0.42662534894829757,2.1054095256494483
39,39,12899,2432.5,1015.0,39,0.31464571952819825,0.11229126494935268,1.4622689503342714
40,40,5395,2012.5,420.0,40,0.47081899642944336,0.049689676320490164,1.5439035162880506
41,41,12024,2520.0,945.0,41,0.4283677101135254,0.7279669222665118,2.468172155909734
42,42,23383,1102.5,1855.0,42,0.683429765701294,0.83444654645971,3.0881619198982175
43,43,12903,2502.5,1015.0,43,0.34617152214050295,0.049689676320490164,1.413062349347526
44,44,22281,1067.5,1767.5,44,0.43333129882812504,0.5197738332849472,2.1783394023873117
45,45,12020,2450.0,945.0,45,0.7222784519195558,0.11229126494935268,1.9156752778806154
46,46,21624,1120.0,1715.0,46,0.4935617446899414,0.08494506273347696,1.6204324407889497
47,47,15743,2152.5,1242.5,47,0.6070738792419434,0.8256867583049565,2.9340135009497947
48,48,11783,2152.5,927.5,48,0.32548341751098636,0.29930919140255574,1.7222127874236959
49,49,10249,2257.5,805.0,49,0.4023002624511719,0.3788066986007959,1.9335009953173297
50,50,21847,1172.5,1732.5,50,0.38930387496948243,0.6069034426466076,2.232477179570733
51,51,11583,2502.5,910.0,51,0.42676401138305664,0.6835634455385885,2.402047734974517
52,52,21181,1067.5,1680.0,52,0.2848742961883545,0.0,1.2848742961883546
53,53,11586,2555.0,910.0,53,0.3278018712997437,0.47694187993863707,1.9610861919834837
54,54,23602,1085.0,1872.5,54,0.3563606977462769,0.5385389562158686,2.086813772162784
55,55,10466,2205.0,822.5,55,0.33366982936859135,0.1698901254669539,1.5602471640115123
56,56,11787,2222.5,927.5,56,0.46642298698425294,0.42849637492128606,2.0947799210082496
57,57,13333,2327.5,1050.0,57,0.2946415185928345,0.049689676320490164,1.35897183660278
58,58,23825,1137.5,1890.0,58,,,
59,59,10484,2520.0,822.5,59,,,
60,60,11126,2205.0,875.0,60,0.3559967279434204,0.5429958044902395,2.0922972621191906
61,61,10921,2467.5,857.5,61,,,
62,62,22285,1137.5,1767.5,62,0.48920435905456544,0.0,1.4892043590545654
63,63,10926,2555.0,857.5,63,0.4028675079345703,0.11229126494935268,1.560397274956889
64,64,24491,1242.5,1942.5,64,,,
65,65,9807,2222.5,770.0,65,0.3809777498245239,0.5749238420599114,2.1749347835528905
66,66,22289,1207.5,1767.5,66,0.34799201488494874,0.2195798017874441,1.6439838343244433
67,67,10267,2572.5,805.0,67,0.3078341007232666,0.0,1.3078341007232666
