time,pattern,reward,episode
54.37980309702107,"[('stim', [0], 150, 400), ('delay', 10), ('stim', [6], 150, 400), ('delay', 10), ('stim', [8], 150, 400), ('delay', 10), ('stim', [10], 150, 400), ('delay', 10), ('stim', [3], 150, 400), ('delay', 10), ('delay', 100), ('stim', [13], 150, 400), ('delay', 10), ('stim', [6], 150, 400), ('delay', 10), ('stim', [8], 150, 400), ('delay', 10), ('stim', [13], 150, 400), ('delay', 10), ('stim', [0], 150, 400), ('delay', 10), ('stim', [10], 150, 400), ('delay', 10), ('stim', [3], 150, 400), ('delay', 10)]",-188.93447547058122,1
109.7949820520007,"[('stim', [6], 150, 400), ('delay', 10), ('stim', [12], 150, 400), ('delay', 10), ('stim', [10], 150, 400), ('delay', 10), ('stim', [0], 150, 400), ('delay', 10), ('stim', [3], 150, 400), ('delay', 10), ('delay', 100), ('stim', [2], 150, 400), ('delay', 10), ('stim', [6], 150, 400), ('delay', 10), ('stim', [12], 150, 400), ('delay', 10), ('stim', [0], 150, 400), ('delay', 10), ('stim', [2], 150, 400), ('delay', 10), ('stim', [3], 150, 400), ('delay', 10), ('stim', [10], 150, 400), ('delay', 10)]",-200.79880750436283,2
165.23639789700974,"[('stim', [2], 150, 400), ('delay', 10), ('stim', [7], 150, 400), ('delay', 10), ('stim', [3], 150, 400), ('delay', 10), ('stim', [12], 150, 400), ('delay', 10), ('stim', [4], 150, 400), ('delay', 10), ('delay', 100), ('stim', [10], 150, 400), ('delay', 10), ('stim', [4], 150, 400), ('delay', 10), ('stim', [3], 150, 400), ('delay', 10), ('stim', [10], 150, 400), ('delay', 10), ('stim', [2], 150, 400), ('delay', 10), ('stim', [7], 150, 400), ('delay', 10), ('stim', [12], 150, 400), ('delay', 10)]",-236.82430993250856,3
220.2853766780172,"[('stim', [2], 150, 400), ('delay', 10), ('stim', [13], 150, 400), ('delay', 10), ('stim', [4], 150, 400), ('delay', 10), ('stim', [0], 150, 400), ('delay', 10), ('stim', [3], 150, 400), ('delay', 10), ('delay', 100), ('stim', [12], 150, 400), ('delay', 10), ('stim', [4], 150, 400), ('delay', 10), ('stim', [12], 150, 400), ('delay', 10), ('stim', [0], 150, 400), ('delay', 10), ('stim', [3], 150, 400), ('delay', 10), ('stim', [13], 150, 400), ('delay', 10), ('stim', [2], 150, 400), ('delay', 10)]",-229.00243744829956,4
275.58950980301597,"[('stim', [13], 150, 400), ('delay', 10), ('stim', [4], 150, 400), ('delay', 10), ('stim', [8], 150, 400), ('delay', 10), ('stim', [2], 150, 400), ('delay', 10), ('stim', [0], 150, 400), ('delay', 10), ('stim', [6], 150, 400), ('delay', 10), ('stim', [13], 150, 400), ('delay', 10), ('stim', [4], 150, 400), ('delay', 10), ('stim', [8], 150, 400), ('delay', 10), ('stim', [2], 150, 400), ('delay', 10), ('stim', [0], 150, 400), ('delay', 10), ('stim', [6], 150, 400), ('delay', 10)]",-153.97527939430503,5
330.61296236500493,"[('stim', [13], 150, 400), ('delay', 10), ('stim', [3], 150, 400), ('delay', 10), ('stim', [12], 150, 400), ('delay', 10), ('stim', [6], 150, 400), ('delay', 10), ('stim', [7], 150, 400), ('delay', 10), ('stim', [8], 150, 400), ('delay', 10), ('stim', [13], 150, 400), ('delay', 10), ('stim', [3], 150, 400), ('delay', 10), ('stim', [12], 150, 400), ('delay', 10), ('stim', [6], 150, 400), ('delay', 10), ('stim', [7], 150, 400), ('delay', 10), ('stim', [8], 150, 400), ('delay', 10)]",-67.51940529190693,6
385.8743836960057,"[('stim', [3], 150, 400), ('delay', 10), ('stim', [2], 150, 400), ('delay', 10), ('stim', [13], 150, 400), ('delay', 10), ('stim', [4], 150, 400), ('delay', 10), ('stim', [7], 150, 400), ('delay', 10), ('stim', [10], 150, 400), ('delay', 10), ('stim', [3], 150, 400), ('delay', 10), ('stim', [2], 150, 400), ('delay', 10), ('stim', [13], 150, 400), ('delay', 10), ('stim', [4], 150, 400), ('delay', 10), ('stim', [7], 150, 400), ('delay', 10), ('stim', [10], 150, 400), ('delay', 10)]",-240.70579706649303,7
441.0559393350268,"[('stim', [3], 150, 400), ('delay', 10), ('stim', [6], 150, 400), ('delay', 10), ('stim', [0], 150, 400), ('delay', 10), ('stim', [2], 150, 400), ('delay', 10), ('stim', [13], 150, 400), ('delay', 10), ('delay', 100), ('stim', [8], 150, 400), ('delay', 10), ('stim', [0], 150, 400), ('delay', 10), ('stim', [8], 150, 400), ('delay', 10), ('stim', [13], 150, 400), ('delay', 10), ('stim', [2], 150, 400), ('delay', 10), ('stim', [3], 150, 400), ('delay', 10), ('stim', [6], 150, 400), ('delay', 10)]",-223.86735046052536,8
496.16613418000634,"[('stim', [6], 150, 400), ('delay', 10), ('stim', [8], 150, 400), ('delay', 10), ('stim', [13], 150, 400), ('delay', 10), ('stim', [3], 150, 400), ('delay', 10), ('stim', [4], 150, 400), ('delay', 10), ('stim', [2], 150, 400), ('delay', 10), ('stim', [6], 150, 400), ('delay', 10), ('stim', [8], 150, 400), ('delay', 10), ('stim', [13], 150, 400), ('delay', 10), ('stim', [3], 150, 400), ('delay', 10), ('stim', [4], 150, 400), ('delay', 10), ('stim', [2], 150, 400), ('delay', 10)]",-213.7785123387857,9
