time,pattern,reward,episode
54.65034747001482,"[('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 50, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 100, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 150, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 200, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 150, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 100, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 50, 200)]",-238.87681945077975,1
110.75603839399992,"[('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 50, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 100, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 150, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 200, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 150, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 100, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 50, 200)]",-196.84223158350972,2
166.60653434300912,"[('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 50, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 100, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 150, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 200, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 150, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 100, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 50, 200)]",-231.29887258404565,3
222.49369264801499,"[('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 50, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 100, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 150, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 200, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 150, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 100, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 50, 200)]",-217.4700582556632,4
278.3636401150143,"[('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 50, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 100, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 150, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 200, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 150, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 100, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 50, 200)]",-202.21171327227367,5
334.2159162090102,"[('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 50, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 100, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 150, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 200, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 150, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 100, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 50, 200)]",-210.6590958721252,6
390.3212047640118,"[('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 50, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 100, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 150, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 200, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 150, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 100, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 50, 200)]",-227.67609639055465,7
446.0729204970121,"[('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 50, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 100, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 150, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 200, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 150, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 100, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 50, 200)]",-229.6105295403932,8
501.8747958969907,"[('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 50, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 100, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 150, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 200, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 150, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 100, 200), ('stim', array([13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]), 50, 200)]",-215.38791003336465,9
