time,amplitude,duty_time_ms,stim_electrodes,tag
1.9741247780038975,400,100,"[8689, 8903, 14921]",sensory
2.1465531289868522,400,100,[14921],sensory
2.1863845129846595,400,100,[14921],sensory
2.227542626002105,400,100,[14921],sensory
2.2672288579924498,400,100,[14921],sensory
2.2793187299976125,400,100,[8689],sensory
2.30764707698836,400,100,"[8903, 14921]",sensory
2.3472195859940257,400,100,[14921],sensory
2.3875583059852943,400,100,[14921],sensory
2.4271899239975028,400,100,[14921],sensory
2.456230843992671,400,100,[16240],sensory
2.4989742699835915,400,100,[16240],sensory
2.5359354020038154,400,100,[16240],sensory
2.559518294001464,400,100,[14921],sensory
2.583437639987096,400,100,[8689],sensory
2.5993849049846176,400,100,[14921],sensory
2.6395670599886216,400,100,[14921],sensory
2.642519689979963,400,100,[8903],sensory
2.6793897399911657,400,100,[14921],sensory
2.7194824869802687,400,100,[14921],sensory
2.759360158990603,400,100,[14921],sensory
2.800659036001889,400,100,[14921],sensory
2.841710708977189,400,100,[14921],sensory
2.8800355969869997,400,100,[14921],sensory
2.8905342939833645,400,100,[8689],sensory
2.9195653749920893,400,100,[14921],sensory
2.959530571999494,400,100,[14921],sensory
2.9745152950054035,400,100,[8903],sensory
2.9996911459893454,400,100,[14921],sensory
3.040724152990151,400,100,[14921],sensory
3.074792236991925,400,100,[20183],sensory
3.1148710179841146,400,100,[20183],sensory
3.1557283439906314,400,100,[20183],sensory
3.1946186169807333,400,100,[20183],sensory
3.19729907400324,400,100,[8689],sensory
3.2347180469951127,400,100,[20183],sensory
3.2747921779809985,400,100,[20183],sensory
3.3085097519797273,400,100,[8903],sensory
3.315546120982617,400,100,[20183],sensory
3.3550348409917206,400,100,[20183],sensory
3.3949060599843506,400,100,[20183],sensory
3.434892196004512,400,100,[20183],sensory
3.475052820984274,400,100,[20183],sensory
3.505675717984559,400,100,[8689],sensory
3.514943938003853,400,100,[20183],sensory
3.554985227994621,400,100,[20183],sensory
3.5951200150011573,400,100,[20183],sensory
3.604080977005651,400,100,[21064],sensory
3.6415453240042552,400,100,[8903],sensory
3.6437394859967753,400,100,[21064],sensory
3.6840440109954216,400,100,[21064],sensory
3.7250403889920563,400,100,[21064],sensory
3.7641739700047765,400,100,[21064],sensory
3.804022928001359,400,100,[21064],sensory
3.814031782996608,400,100,[8689],sensory
3.844196097983513,400,100,[21064],sensory
3.8842569139960688,400,100,[21064],sensory
3.92409834798309,400,100,[21064],sensory
3.964021003979724,400,100,[21064],sensory
3.97481925500324,400,100,[8903],sensory
4.004494758002693,400,100,[21064],sensory
4.045162046997575,400,100,[20183],sensory
4.084881750983186,400,100,[20183],sensory
4.122654058999615,400,100,[8689],sensory
4.1253281839890406,400,100,[20183],sensory
4.165624143002788,400,100,[20183],sensory
4.205111770977965,400,100,[20183],sensory
4.24493668298237,400,100,[20183],sensory
4.2873316449986305,400,100,[20183],sensory
4.308119944995269,400,100,[8903],sensory
4.327029807987856,400,100,[20183],sensory
4.366460888995789,400,100,[20183],sensory
4.406491989997448,400,100,[20183],sensory
4.431050529005006,400,100,[8689],sensory
4.44622562098084,400,100,[20183],sensory
4.486626497993711,400,100,[20183],sensory
4.526093035994563,400,100,[20183],sensory
4.568108681996819,400,100,[20183],sensory
4.608072637987789,400,100,[20183],sensory
4.643339278001804,400,100,[8903],sensory
4.649150129000191,400,100,[20183],sensory
4.6881073379772715,400,100,[20183],sensory
4.7280813309771474,400,100,[20183],sensory
4.741192215995397,400,100,[8689],sensory
4.7685466289985925,400,100,[20183],sensory
4.808055355999386,400,100,[20183],sensory
4.848036041978048,400,100,[20183],sensory
4.888149887992768,400,100,[20183],sensory
4.893875718000345,400,100,[14921],sensory
